series,strategy,threshold_quantile,is_skab_setting,f1,precision,recall,event_f1,event_precision,event_recall,n_true_events,n_detected_events,alarm_rate,flag_everything_f1,n_adaptations,n_steps,seconds
rogue_agent_key_updown,drift-triggered,0.95,False,0.04132231404958678,0.07653061224489796,0.02830188679245283,0.14218009478672988,0.07653061224489796,1.0,2,2,0.045422943221320976,0.21878224974200206,2,4315,0.62
rogue_agent_key_updown,static,0.98,True,0.0392156862745098,0.14634146341463414,0.022641509433962263,0.2553191489361702,0.14634146341463414,1.0,2,2,0.019003476245654693,0.21878224974200206,0,4315,0.15
rogue_agent_key_updown,online-no-reset,0.98,True,0.03915171288743883,0.14457831325301204,0.022641509433962263,0.25263157894736843,0.14457831325301204,1.0,2,2,0.019235225955967557,0.21878224974200206,0,4315,0.49
rogue_agent_key_updown,periodic,0.98,True,0.012759170653907496,0.041237113402061855,0.007547169811320755,0.0761904761904762,0.041237113402061855,0.5,2,1,0.022479721900347624,0.21878224974200206,4,4315,0.84
rogue_agent_key_updown,drift-triggered,0.98,True,0.03980099502487562,0.1643835616438356,0.022641509433962263,0.2823529411764706,0.1643835616438356,1.0,2,2,0.016917728852838935,0.21878224974200206,2,4315,0.66
ec2_request_latency_system_failure,static,0.5,False,0.18949536560247165,0.11528822055137844,0.5317919075144508,0.20674157303370783,0.11528822055137844,1.0,3,3,0.5263852242744064,0.20485494375370042,0,3032,0.18
ec2_request_latency_system_failure,online-no-reset,0.5,False,0.17728055077452667,0.10414560161779575,0.5953757225433526,0.18864468864468864,0.10414560161779575,1.0,3,3,0.6523746701846965,0.20485494375370042,0,3032,0.33
ec2_request_latency_system_failure,periodic,0.5,False,0.175054704595186,0.10796221322537113,0.4624277456647399,0.194884287454324,0.10796221322537113,1.0,3,3,0.4887862796833773,0.20485494375370042,3,3032,0.57
ec2_request_latency_system_failure,drift-triggered,0.5,False,0.17742841100505333,0.11010452961672473,0.45664739884393063,0.19836785938480853,0.11010452961672473,1.0,3,3,0.4732849604221636,0.20485494375370042,2,3032,0.49
ec2_request_latency_system_failure,static,0.7,False,0.16778523489932887,0.10926573426573427,0.36127167630057805,0.19700551615445236,0.10926573426573427,1.0,3,3,0.37730870712401055,0.20485494375370042,0,3032,0.18
ec2_request_latency_system_failure,online-no-reset,0.7,False,0.14319433516915814,0.09837837837837837,0.2630057803468208,0.17913385826771655,0.09837837837837837,1.0,3,3,0.30507915567282323,0.20485494375370042,0,3032,0.38
ec2_request_latency_system_failure,periodic,0.7,False,0.15726767275615566,0.10843373493975904,0.2861271676300578,0.1956521739130435,0.10843373493975904,1.0,3,3,0.3011213720316623,0.20485494375370042,3,3032,0.6
ec2_request_latency_system_failure,drift-triggered,0.7,False,0.15746753246753245,0.10948081264108352,0.28034682080924855,0.1973550356052899,0.10948081264108352,1.0,3,3,0.2922163588390501,0.20485494375370042,2,3032,0.49
ec2_request_latency_system_failure,static,0.8,False,0.1584967320261438,0.11047835990888383,0.28034682080924855,0.19897435897435897,0.11047835990888383,1.0,3,3,0.2895778364116095,0.20485494375370042,0,3032,0.17
ec2_request_latency_system_failure,online-no-reset,0.8,False,0.1447721179624665,0.10478654592496765,0.23410404624277456,0.18969555035128804,0.10478654592496765,1.0,3,3,0.25494722955145116,0.20485494375370042,0,3032,0.34
ec2_request_latency_system_failure,periodic,0.8,False,0.15497382198952878,0.12151067323481117,0.2138728323699422,0.21669106881405564,0.12151067323481117,1.0,3,3,0.2008575197889182,0.20485494375370042,3,3032,0.63
